,r,p
node1583,0.1239751463372519,0.568
node1609,0.2363160569776094,0.171
node1656,0.26062956523917835,0.042
node1659,0.2664142858248233,0.004
node1653,0.22383726749623567,0.007
node1687,0.19171466473782314,0.016
node1677,0.05393033460957838,0.522
node1763,0.18538306273341337,0.173
node1804,0.010552153410438699,0.972
node1862,0.2257939623845374,0.221
node1903,0.42316334933344746,0.015
node2277,0.32571594502838286,0.005
node2542,0.09146608452259497,0.399
node2680,0.09461956325620137,0.316
node2678,0.17331364612563943,0.001
node2694,0.1747885841119668,0.001
node2705,0.14470857696796458,0.025
