,r,p
node1583,0.15282811455311215,0.456
node1609,0.3664302153099333,0.061
node1656,0.24530769735763844,0.076
node1659,0.3391588217143535,0.005
node1653,0.3419415368420458,0.002
node1687,0.27237072245761457,0.003
node1677,0.08444305251376846,0.318
node1763,0.22505410604863588,0.057
node1804,-0.031163734934759494,0.932
node1862,0.13247926593114945,0.506
node1903,0.2754243576145184,0.11
node2277,0.2812044746514517,0.01
node2542,0.02769088490702239,0.815
node2680,0.030807938038541354,0.788
node2678,0.06883366984832313,0.09
node2694,0.05051548992936464,0.331
node2705,0.03142323191035524,0.602
