,r,p
node1763,0.18538306273341337,0.35135135135135137
node1804,0.010552153410438626,0.960960960960961
node1862,0.22579396238453733,0.37237237237237236
node1903,0.42316334933344757,0.03203203203203203
node2277,0.3257159450283827,0.04004004004004004
node2542,0.09146608452259496,0.4214214214214214
node2680,0.09461956325620136,0.30430430430430433
node1583,0.12397514633725193,0.6296296296296297
node1609,0.23631605697760946,0.46546546546546547
node1656,0.26062956523917835,0.34234234234234234
node1659,0.26641428582482324,0.04004004004004004
node2678,0.21152163037032978,0.006006006006006006
